latname,ThresholdABMS,nABMS
Certhia_familiaris,-2.025,108
Sitta_europaea,0.135,108
Phylloscopus_collybita,0.267,108
Cyanistes_caeruleus,0.482,117
Cuculus_canorus,0.542,81
Dendrocopos_major,0.572,108
Corvus_corax,0.593,108
Turdus_merula,0.633,108
Fringilla_coelebs,0.674,108
Troglodytes_troglodytes,0.702,135
Garrulus_glandarius,0.725,108
Parus_major,0.785,96
Erithacus_rubecula,0.802,135
Motacilla_alba,0.803,81
Pica_pica,0.815,81
Certhia_brachydactyla,0.822,108
Regulus_regulus,0.837,108
Dryocopus_martius,0.862,81
Sylvia_atricapilla,0.916,108
Carduelis_carduelis,0.987,108
Aegithalos_caudatus,1.038,108
Poecile_palustris,1.17,81
Turdus_philomelos,1.202,81
Picus_viridis,1.397,108
Anthus_trivialis,1.543,108
Motacilla_cinerea,1.877,81
Muscicapa_striata,1.909,108
Strix_aluco,2.236,135
Coccothraustes_coccothraustes,2.959,108
