partner,deployment,total_detections,unique_species,mean_confidence
the_netherlands,W2,121282,178,0.7914027361055295
sweden,W2,120282,209,0.8768732911640613
the_netherlands,W1,106788,192,0.8199097610049763
spain,W2,94031,149,0.8819738798579315
slovakia,W2,92896,164,0.8603973615070201
denmark,F1,92743,144,0.809130163961813
czech_republic,F1,90211,140,0.8049918673164047
denmark,F2,88781,149,0.8191618070965923
the_netherlands,F2,82417,120,0.8082011201189396
belgium,W2,81780,154,0.7760589781455289
croatia,W2,74815,157,0.8449585121726237
spain,W1,72940,140,0.8880849725045601
croatia,W1,67014,165,0.8459188771620715
sweden,W1,66660,199,0.8186764269110465
the_netherlands,G1,65759,160,0.898191104860288
sweden,G2,59529,155,0.8193580163734913
croatia,F1,59310,105,0.8049716349456869
spain,G2,59280,121,0.9051566480464137
the_netherlands,F1,59170,123,0.7976323576388135
spain,F2,57967,69,0.8861328549727437
croatia,G1,55803,184,0.8464385004895346
spain,F1,55209,119,0.8804615779397549
czech_republic,F2,54033,129,0.7880708394139201
denmark,G2,53932,175,0.7825817074150074
czech_republic,G2,52926,153,0.7968596788527622
slovakia,F2,52916,118,0.8135779600685367
the_netherlands,G2,51111,169,0.8656295788654064
denmark,G1,49424,184,0.8265291275610311
slovakia,F1,48647,102,0.7932729773497702
denmark,W1,47102,155,0.8288120834403552
sweden,G1,45004,172,0.8286071056451239
finland,F1,44950,127,0.8278511866552546
slovakia,W1,44722,90,0.9261461053323321
belgium,F1,44714,101,0.7786833099547996
denmark,W2,41795,162,0.7857168630145215
slovakia,G2,40594,151,0.8378339823055145
belgium,G2,40214,191,0.7879459270016608
finland,F2,39227,110,0.8054626039866447
spain,G1,38992,124,0.867485774582375
bulgaria,F1,37804,119,0.810365756137789
czech_republic,G1,34712,146,0.855575153286912
finland,W1,34672,144,0.8624903843044052
italy,G2,33393,131,0.8509068677743319
bulgaria,W1,28723,143,0.8651078618328556
sweden,F1,27774,119,0.7798734188826663
bulgaria,F2,25658,109,0.8040185795773293
belgium,W1,24415,120,0.7722839779573558
sweden,F2,22950,127,0.7933483013556154
belgium,G1,22048,146,0.8036873154125902
bulgaria,G1,21557,100,0.8686972323986718
italy,W2,20168,96,0.8056417148041611
italy,F2,19265,81,0.795986386750724
bulgaria,W2,18839,128,0.85888576359498
italy,W1,18454,124,0.8354056904992161
slovakia,G1,17821,124,0.8229163168997925
ireland,F1,14501,41,0.8398525562338003
italy,F1,14219,93,0.7916833199406066
finland,W2,13300,121,0.8346682780532909
ireland,F2,9991,57,0.8006304499325291
ireland,W2,7003,80,0.7576043440004289
italy,G1,4622,72,0.8216955011822558
croatia,G2,3639,50,0.8632207416217057
